,country_name,cases,deaths,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population,deaths_per_1m_population,total_tests,tests_per_1m_population
0,USA,1763557.0,103139.0,496925.0,1032.0,17754.0,17182.0,1163493.0,5331.0,312.0,16268583.0,49176.0
1,Brazil,419340.0,25945.0,192302.0,248.0,4679.0,8318.0,201093.0,1974.0,122.0,871839.0,4104.0
2,Russia,379051.0,4142.0,150993.0,174.0,8371.0,2300.0,223916.0,2598.0,28.0,9701280.0,66480.0
3,Spain,284986.0,27119.0,196958.0,1.0,1137.0,854.0,60909.0,6096.0,580.0,3556567.0,76071.0
4,UK,269127.0,37837.0,0.0,377.0,1887.0,1559.0,0.0,3966.0,558.0,3918079.0,57744.0
5,Italy,231732.0,33142.0,150604.0,70.0,593.0,489.0,47986.0,3832.0,548.0,3683144.0,60909.0
6,France,186238.0,28662.0,67191.0,66.0,3325.0,1429.0,90385.0,2854.0,439.0,1384633.0,21217.0
7,Germany,182452.0,8570.0,163200.0,37.0,557.0,763.0,10682.0,2178.0,102.0,3952971.0,47194.0
8,India,165386.0,4711.0,70920.0,177.0,7300.0,8944.0,89755.0,120.0,3.0,3362136.0,2439.0
9,Turkey,160979.0,4461.0,124369.0,30.0,1182.0,683.0,32149.0,1911.0,53.0,1928209.0,22886.0
10,Iran,143849.0,7627.0,112988.0,63.0,2258.0,2543.0,23234.0,1715.0,91.0,876492.0,10448.0
11,Peru,135905.0,3983.0,56169.0,0.0,0.0,926.0,75753.0,4127.0,121.0,905278.0,27493.0
12,Canada,88475.0,6873.0,46777.0,108.0,956.0,502.0,34825.0,2346.0,182.0,1559280.0,41348.0
13,Chile,86943.0,890.0,36150.0,49.0,4654.0,1289.0,49903.0,4552.0,47.0,530173.0,27757.0
14,Saudi Arabia,80185.0,441.0,54553.0,16.0,1644.0,384.0,25191.0,2307.0,13.0,770696.0,22171.0
15,Mexico,78023.0,8597.0,54383.0,463.0,3463.0,378.0,15043.0,606.0,67.0,244858.0,1901.0
16,Pakistan,61227.0,1260.0,20231.0,35.0,2076.0,111.0,39736.0,278.0,6.0,508086.0,2305.0
17,Belgium,57849.0,9388.0,15572.0,24.0,257.0,208.0,32889.0,4993.0,810.0,818807.0,70678.0
18,Qatar,50914.0,33.0,15399.0,3.0,1967.0,214.0,35482.0,17702.0,11.0,207033.0,71980.0
19,Netherlands,45950.0,5903.0,0.0,32.0,182.0,182.0,0.0,2682.0,345.0,342681.0,20003.0
20,Bangladesh,40321.0,559.0,8425.0,15.0,2029.0,1.0,31337.0,245.0,3.0,275776.0,1676.0
21,Belarus,39858.0,219.0,16660.0,5.0,902.0,92.0,22979.0,4218.0,23.0,499249.0,52833.0
22,Ecuador,38471.0,3313.0,18425.0,38.0,368.0,220.0,16733.0,2184.0,188.0,110812.0,6290.0
23,Sweden,35727.0,4266.0,4971.0,46.0,639.0,280.0,26490.0,3540.0,423.0,238800.0,23659.0
24,Singapore,33249.0,23.0,18294.0,0.0,373.0,7.0,14932.0,5687.0,4.0,334691.0,57251.0
25,UAE,32532.0,258.0,16685.0,3.0,563.0,1.0,15589.0,3293.0,26.0,2110493.0,213636.0
26,Portugal,31596.0,1369.0,18637.0,13.0,304.0,65.0,11590.0,3098.0,134.0,778698.0,76348.0
27,Switzerland,30796.0,1919.0,28300.0,2.0,20.0,36.0,577.0,3561.0,222.0,385822.0,44610.0
28,South Africa,25937.0,552.0,13451.0,0.0,0.0,128.0,11934.0,438.0,9.0,634996.0,10720.0
29,Ireland,24841.0,1639.0,22089.0,8.0,38.0,47.0,1113.0,5036.0,332.0,325795.0,66051.0
30,Indonesia,24538.0,1496.0,6240.0,23.0,687.0,0.0,16802.0,90.0,5.0,289906.0,1061.0
31,Kuwait,24112.0,185.0,8698.0,10.0,845.0,197.0,15229.0,5654.0,43.0,282341.0,66209.0
32,Colombia,24104.0,803.0,6111.0,0.0,0.0,136.0,17190.0,474.0,16.0,283346.0,5574.0
33,Poland,22825.0,1038.0,10560.0,10.0,352.0,160.0,11227.0,603.0,27.0,846732.0,22371.0
